year,City,Temp ave (degr C),Precipitation (mm)
1901,Beijing,9.7,523.99
1901,London,734.68,8.84
1901,New York,1113.6,6.6
1901,Lagos,26.79,2371.76
1902,Beijing,10.42,248.66
1902,London,701.84,8.62
1902,New York,1108.19,6.68
1902,Lagos,26.98,1190.12
1903,Beijing,9.98,384.53
1903,London,1065.95,8.85
1903,New York,1123.61,6.68
1903,Lagos,27,1486.55
1904,Beijing,9.94,534.16
1904,London,744.77,8.87
1904,New York,1006.03,5.11
1904,Lagos,26.95,1557.58
1905,Beijing,9.62,450.96
1905,London,692.08,8.94
1905,New York,1045.99,6.25
1905,Lagos,26.93,1431.55
1906,Beijing,9.24,510.44
1906,London,837.84,9.11
1906,New York,990.74,6.99
1906,Lagos,27.25,1646.34
1907,Beijing,9.59,425.26
1907,London,842.48,8.73
1907,New York,992.71,5.82
1907,Lagos,27,1755.95
1908,Beijing,9.24,556.06
1908,London,744.74,9.1
1908,New York,878.68,7
1908,Lagos,26.97,1683.6
1909,Beijing,9.24,438.21
1909,London,870.81,8.5
1909,New York,952.82,6.55
1909,Lagos,26.9,1691.14
1910,Beijing,8.79,489.52
1910,London,915.92,9.05
1910,New York,987.91,6.69
1910,Lagos,27.01,1755.39
1911,Beijing,8.8,629.31
1911,London,773.38,9.66
1911,New York,961.25,7.16
1911,Lagos,27,1875.33
1912,Beijing,9.03,600.73
1912,London,1007.37,9.05
1912,New York,1012.81,6.1
1912,Lagos,27.09,1244.7
1913,Beijing,9.08,393.29
1913,London,793.16,9.42
1913,New York,1013.94,7.89
1913,Lagos,27.2,1595.37
1914,Beijing,9.98,494.02
1914,London,888.86,9.5
1914,New York,941.9,6.15
1914,Lagos,27.43,1496.36
1915,Beijing,8.88,518.51
1915,London,917.4,8.7
1915,New York,1054.23,6.94
1915,Lagos,27,1863.7
1916,Beijing,9.17,432.36
1916,London,945.27,9.06
1916,New York,991.69,6.59
1916,Lagos,27.01,1593.56
1917,Beijing,8.83,631.22
1917,London,812.63,8.4
1917,New York,1013.48,5.13
1917,Lagos,27,2351
1918,Beijing,9.05,445.27
1918,London,899.4,9.25
1918,New York,1025.01,6.69
1918,Lagos,27,1510.83
1919,Beijing,9.59,445.22
1919,London,873.57,8.41
1919,New York,1003.16,7.39
1919,Lagos,27,1348.71
1920,Beijing,9.96,240.64
1920,London,884.06,9.34
1920,New York,1024.59,6.47
1920,Lagos,27.05,1346.57
1921,Beijing,9.49,378.22
1921,London,594.41,10.16
1921,New York,912,8.39
1921,Lagos,27,1923.33
1922,Beijing,9.71,545.92
1922,London,871.88,8.54
1922,New York,986.72,7.31
1922,Lagos,27.01,1655.2
1923,Beijing,9.44,458.67
1923,London,927.98,8.92
1923,New York,889.04,6.45
1923,Lagos,26.85,1641.47
1924,Beijing,9.64,583.33
1924,London,980.62,8.93
1924,New York,959.86,5.93
1924,Lagos,26.94,1367.8
1925,Beijing,9.49,623.56
1925,London,879.24,8.94
1925,New York,1052.52,6.83
1925,Lagos,26.37,1629.84
1926,Beijing,9.71,387.31
1926,London,840.13,9.51
1926,New York,1016.13,5.51
1926,Lagos,27.09,1671.53
1927,Beijing,9.82,372.69
1927,London,1016.11,9.01
1927,New York,1121.03,7.12
1927,Lagos,26.54,1333.33
1928,Beijing,9.78,504.78
1928,London,948.53,9.31
1928,New York,979.95,6.99
1928,Lagos,26.46,1703.2
1929,Beijing,9.72,536.02
1929,London,818.38,8.88
1929,New York,1079.06,6.91
1929,Lagos,26.3,1825.54
1930,Beijing,10.01,449.91
1930,London,961.25,9.23
1930,New York,813.92,7.45
1930,Lagos,27.3,1656.1
1931,Beijing,9.53,456.1
1931,London,903.69,8.87
1931,New York,949.45,8.31
1931,Lagos,27.31,1864.98
1932,Beijing,9.94,415.33
1932,London,844.26,9.28
1932,New York,1078.99,7.56
1932,Lagos,27.45,1296.63
1933,Beijing,9.3,502.28
1933,London,673.91,9.53
1933,New York,942.56,7.56
1933,Lagos,27.37,2067.74
1934,Beijing,9.25,581.74
1934,London,772.04,9.85
1934,New York,875.32,6.69
1934,Lagos,27.39,1932.24
1935,Beijing,10.23,319.23
1935,London,947.53,9.38
1935,New York,958.25,6.51
1935,Lagos,27.33,1916.49
1936,Beijing,9.04,324.46
1936,London,886.76,9.23
1936,New York,1019.01,6.96
1936,Lagos,26.8,1425.59
1937,Beijing,9.93,568.31
1937,London,898.34,9.27
1937,New York,1111.16,7.53
1937,Lagos,27.58,1667.84
1938,Beijing,10.18,594.95
1938,London,836.13,9.69
1938,New York,1045.71,7.83
1938,Lagos,27.7,1413.69
1939,Beijing,10.37,516.43
1939,London,925,9.47
1939,New York,879.95,7.11
1939,Lagos,27.34,1522.29
1940,Beijing,10.15,400.64
1940,London,844.02,8.84
1940,New York,1025.99,5.85
1940,Lagos,27.08,1608.39
1941,Beijing,10.33,363.92
1941,London,806.43,8.78
1941,New York,809.27,7.54
1941,Lagos,27.73,1855.7
1942,Beijing,10.35,450.05
1942,London,768.72,8.84
1942,New York,1112.54,7.36
1942,Lagos,27.41,1609.05
1943,Beijing,10.47,383.05
1943,London,763.36,9.67
1943,New York,1001.71,6.35
1943,Lagos,27.04,1676.72
1944,Beijing,9.83,451.48
1944,London,853.64,9.35
1944,New York,949.03,7.15
1944,Lagos,27.3,1442.18
1945,Beijing,10.14,438.8
1945,London,777.69,9.95
1945,New York,1264.58,7.12
1945,Lagos,26.97,1266.31
1946,Beijing,10.44,512.1
1946,London,963.09,9.11
1946,New York,958.59,7.83
1946,Lagos,26.94,1112.23
1947,Beijing,8.77,512.89
1947,London,758.14,9.29
1947,New York,1104.6,7.29
1947,Lagos,27.22,1859.88
1948,Beijing,10.37,489.86
1948,London,878.06,9.7
1948,New York,1043.06,7.19
1948,Lagos,26.77,1075.39
1949,Beijing,10.1,720.95
1949,London,732.8,10.2
1949,New York,924.66,8.62
1949,Lagos,27.34,1556.53
1950,Beijing,9.95,616.97
1950,London,926.72,9.17
1950,New York,1088.65,6.99
1950,Lagos,26.82,1368.6
1951,Beijing,9.64,375.45
1951,London,1001.5,8.97
1951,New York,1125.47,7.45
1951,Lagos,27.36,1709.93
1952,Beijing,9.3,433.25
1952,London,812.99,8.85
1952,New York,1013.01,7.9
1952,Lagos,27.08,1725.31
1953,Beijing,9.72,563.86
1953,London,689.96,9.61
1953,New York,987.1,8.62
1953,Lagos,26.87,1538.26
1954,Beijing,9.27,721.66
1954,London,1002.32,8.86
1954,New York,1120.83,7.42
1954,Lagos,26.54,1676.11
1955,Beijing,10.17,615.24
1955,London,724.95,9
1955,New York,1011.66,7.65
1955,Lagos,26.55,1752.37
1956,Beijing,8.81,681.01
1956,London,799.19,8.6
1956,New York,1021.68,6.73
1956,Lagos,26.57,1305.99
1957,Beijing,8.97,474.43
1957,London,828.43,9.69
1957,New York,885.08,7.63
1957,Lagos,26.76,2148.08
1958,Beijing,9.97,516.46
1958,London,974.94,9.11
1958,New York,1066.73,6.4
1958,Lagos,26.94,1437.69
1959,Beijing,10.12,725.79
1959,London,753.18,10.2
1959,New York,1067.4,7.7
1959,Lagos,26.97,1758.83
1960,Beijing,10.01,437.58
1960,London,1085.35,9.45
1960,New York,938.29,6.97
1960,Lagos,26.87,1668.61
1961,Beijing,10.54,524.57
1961,London,829.67,9.59
1961,New York,980.4,7.23
1961,Lagos,26.77,1617.97
1962,Beijing,9.81,426.95
1962,London,737.43,8.28
1962,New York,926.67,6.59
1962,Lagos,26.71,2009.34
1963,Beijing,9.86,481.71
1963,London,800.36,8.15
1963,New York,837.82,6.5
1963,Lagos,27.1,2230.51
1964,Beijing,9.26,703.52
1964,London,666.78,9.09
1964,New York,790.07,7.39
1964,Lagos,26.67,1539.28
1965,Beijing,10.17,361.65
1965,London,942.07,8.63
1965,New York,850.23,6.77
1965,Lagos,26.81,2116.18
1966,Beijing,9.83,528.57
1966,London,968.85,9.19
1966,New York,897.33,6.91
1966,Lagos,27.09,1615.9
1967,Beijing,9.3,574.18
1967,London,928.09,9.36
1967,New York,999.65,6.79
1967,Lagos,26.69,1475.65
1968,Beijing,9.6,392.62
1968,London,932.69,9.05
1968,New York,1012.45,6.76
1968,Lagos,26.97,2739.07
1969,Beijing,8.77,653.48
1969,London,862.27,9.04
1969,New York,988.2,6.92
1969,Lagos,27.27,1700.35
1970,Beijing,9.26,493.77
1970,London,860.37,9.25
1970,New York,969.6,6.89
1970,Lagos,27.05,1702.51
1971,Beijing,9.58,467.34
1971,London,762.47,9.55
1971,New York,991.78,7.04
1971,Lagos,26.22,1351.83
1972,Beijing,9.72,367.41
1972,London,801.95,8.98
1972,New York,1259.92,6.37
1972,Lagos,26.58,1302.85
1973,Beijing,10.17,656.03
1973,London,693.26,9.36
1973,New York,1104.41,8.22
1973,Lagos,26.99,1470.39
1974,Beijing,9.62,500.75
1974,London,941.19,9.29
1974,New York,1048.48,7.03
1974,Lagos,26.27,1584.43
1975,Beijing,10.71,388.38
1975,London,704.38,9.66
1975,New York,1161.88,7.71
1975,Lagos,26.1,1559.6
1976,Beijing,9.37,529.37
1976,London,765.37,9.67
1976,New York,1202.01,6.42
1976,Lagos,26.17,1309.93
1977,Beijing,10.11,599.41
1977,London,874.84,9.25
1977,New York,1254.99,7.17
1977,Lagos,26.9,1128.43
1978,Beijing,10.28,570.38
1978,London,839.7,9.12
1978,New York,968.54,6.27
1978,Lagos,26.54,1617.49
1979,Beijing,10.15,579.86
1979,London,932.56,8.55
1979,New York,1079.15,7.26
1979,Lagos,26.86,1892.49
1980,Beijing,9.76,392.33
1980,London,913.09,9.09
1980,New York,912.42,6.65
1980,Lagos,26.83,1802.54
1981,Beijing,10.06,397.76
1981,London,933.77,9.02
1981,New York,1015.94,7.14
1981,Lagos,27.43,1421.42
1982,Beijing,10.85,466.92
1982,London,913.59,9.56
1982,New York,946.04,7.01
1982,Lagos,27.28,1264.5
1983,Beijing,10.81,452.02
1983,London,828.63,9.69
1983,New York,1161.07,7.63
1983,Lagos,27.62,1195.22
1984,Beijing,9.68,401.05
1984,London,862.4,9.43
1984,New York,1069.61,7.39
1984,Lagos,27.52,1462.81
1985,Beijing,9.48,568.56
1985,London,828.91,8.6
1985,New York,976.22,7.2
1985,Lagos,27.33,1526.76
1986,Beijing,9.94,516.98
1986,London,924.07,8.48
1986,New York,1133.09,7.38
1986,Lagos,27.15,1259.46
1987,Beijing,10.39,550.81
1987,London,873.95,8.85
1987,New York,996.23,7.71
1987,Lagos,27.41,1874.58
1988,Beijing,10.43,521.5
1988,London,874.29,9.63
1988,New York,887.2,7.23
1988,Lagos,26.87,1926.36
1989,Beijing,10.9,371.98
1989,London,762.06,10.29
1989,New York,1086.23,6.74
1989,Lagos,26.58,1678.87
1990,Beijing,10.63,602.06
1990,London,782.73,10.4
1990,New York,1266.88,8.57
1990,Lagos,26.95,1521.48
1991,Beijing,10.33,557.81
1991,London,738,9.36
1991,New York,944.46,8.5
1991,Lagos,26.8,1793.93
1992,Beijing,10.36,471.96
1992,London,913.36,9.64
1992,New York,1080.17,6.64
1992,Lagos,26.77,1374.71
1993,Beijing,10.24,400.56
1993,London,933.91,9.26
1993,New York,1057.69,6.96
1993,Lagos,26.8,1461.87
1994,Beijing,11.21,583
1994,London,949.45,9.95
1994,New York,1081.84,7.1
1994,Lagos,26.79,1477.98
1995,Beijing,10.81,609.35
1995,London,785.81,10.27
1995,New York,940.37,7.6
1995,Lagos,26.97,1697.96
1996,Beijing,10.27,540.43
1996,London,702.58,8.99
1996,New York,1269.43,7.09
1996,Lagos,26.99,1631.06
1997,Beijing,11.14,379.19
1997,London,801.15,10.25
1997,New York,975.8,6.78
1997,Lagos,26.92,1901.48
1998,Beijing,11.55,579.61
1998,London,989.09,10.04
1998,New York,1052.35,8.97
1998,Lagos,27.54,1390.06
1999,Beijing,11.44,357.99
1999,London,970.38,10.3
1999,New York,984.69,8.27
1999,Lagos,26.97,1809.02
2000,Beijing,10.64,414.84
2000,London,1109.7,9.97
2000,New York,1184.84,6.92
2000,Lagos,27.31,1414.1
2001,Beijing,11.09,407.71
2001,London,890.84,9.75
2001,New York,882.99,8.08
2001,Lagos,27.4,1207.62
2002,Beijing,11.36,374.73
2002,London,1063.36,10.3
2002,New York,1129.63,8.15
2002,Lagos,27.4,1643.13
2003,Beijing,10.41,463.61
2003,London,717.19,10.25
2003,New York,1213.15,6.79
2003,Lagos,27.53,1812.75
2004,Beijing,11.35,500.06
2004,London,898.96,10.18
2004,New York,1152.56,7.05
2004,Lagos,27.33,1811.11
2005,Beijing,10.84,463.26
2005,London,798.53,10.2
2005,New York,1156.85,7.75
2005,Lagos,27.6,1415.51
2006,Beijing,11.39,388.64
2006,London,868.61,10.46
2006,New York,1238.86,8.63
2006,Lagos,27.58,1561.8
2007,Beijing,11.81,443.84
2007,London,930.58,10.42
2007,New York,1128.36,7.71
2007,Lagos,27.53,1888.69
2008,Beijing,11.06,526.87
2008,London,1008.27,9.91
2008,New York,1227.92,7.57
2008,Lagos,27.33,1901.83
2009,Beijing,11.11,404.22
2009,London,910.6,9.96
2009,New York,1071.87,7.16
2009,Lagos,27.56,1698.48
2010,Beijing,10.52,485.34
2010,London,794.52,8.85
2010,New York,1110.02,8.51
2010,Lagos,27.92,1979.11
2011,Beijing,10.54,473.12
2011,London,751.14,10.39
2011,New York,1379.73,8.44
2011,Lagos,27.5,1542.84
2012,Beijing,10.02,517.68
2012,London,1121.28,9.66
2012,New York,1039.39,9.4
2012,Lagos,27.31,1608.27
2013,Beijing,10.73,518.32
2013,London,849.63,9.55
2013,New York,1184.06,7.8
2013,Lagos,27.49,1510.8
2014,Beijing,11.8,441.63
2014,London,1033.68,10.77
2014,New York,1132.63,7.24
2014,Lagos,27.66,1731.02
2015,Beijing,11.48,442.92
2015,London,906.23,10.05
2015,New York,1078.94,7.97
2015,Lagos,27.69,1375.99
2016,Beijing,11.36,680.7
2016,London,894.43,10.12
2016,New York,943.48,8.92
2016,Lagos,27.94,1379.05
2017,Beijing,11.91,470.57
2017,London,855.12,10.4
2017,New York,1231.68,8.54
2017,Lagos,27.78,1587.71
2018,Beijing,11.36,499.31
2018,London,851.82,10.38
2018,New York,1307.53,8.28
2018,Lagos,27.73,1740.61
2019,Beijing,11.64,422.92
2019,London,975.38,10.36
2019,New York,1217.32,7.96
2019,Lagos,27.61,2093.09
2020,Beijing,11.15,506.61
2020,London,985.69,10.62
2020,New York,1066.9,9.07
2020,Lagos,27.89,1355.81
2021,Beijing,11.66,610.13
2021,London,874.18,10.13
2021,New York,1200.96,9.04
2021,Lagos,28.07,1674.93
